t_valid,Za_v,Za_a,Ra,Xa,Zb_v,Zb_a,Rb,Xb,Zc_v,Zc_a,Rc,Xc
0.57,620.655844544594,-148.956932736166,-531.765466207215,-320.06119151935,571.394400521522,-156.016669227271,-522.062351880714,-232.255165058019,525.331916993308,-149.015900592275,-450.372410754754,-270.440963322525
0.571,620.680726648473,-152.787588602763,-551.982130321756,-283.831450403814,541.273819816019,-154.987302804531,-490.509972485783,-228.860907343786,553.884914928492,-146.066218536436,-459.549061588709,-309.197605065564
0.572,596.429954692419,-155.366620269992,-542.150913442898,-248.598225873461,523.459341740642,-152.044957320957,-462.379851423048,-245.386542934909,597.704747764643,-146.47256896676,-498.259516517017,-330.133942060831
0.573,564.068678003119,-155.957718122338,-515.132930510523,-229.807609551613,529.362856176609,-148.174145850724,-449.775703824812,-279.153810198522,623.498725706403,-149.851524614372,-539.156061169466,-313.147573296897
0.574,535.735719681351,-154.473996217718,-483.442450672181,-230.859607187077,563.556214337626,-145.810221627839,-466.162901288259,-316.682421648359,616.744945145071,-153.531050278024,-552.095296433211,-274.891089375995
0.575,522.203000120847,-151.191153502519,-457.571128858291,-251.643866149291,606.262175586192,-147.038897608973,-508.678291814956,-329.848785025384,589.438575550609,-155.692619085664,-537.184997476639,-242.631640214451
0.576,534.601061058682,-147.401640973573,-450.384194365269,-288.014534270437,624.861317702238,-150.722729090927,-545.043620384745,-305.579970283503,557.075775598045,-155.818986714707,-508.195666749001,-228.18979831645
0.577,573.428441599824,-145.745994106044,-473.967506637829,-322.761491332411,612.033920463133,-154.167918558728,-550.87638979195,-266.684688287986,531.071056613925,-153.891669141241,-476.882477167903,-233.708301399918
0.578,613.177822002795,-147.740398052807,-518.526702333318,-327.287488858689,582.360739055251,-155.89784865073,-531.589856932854,-237.815589058173,522.428707816267,-150.330849159097,-453.937339335953,-258.597460751589
0.579,624.213665154716,-151.588726579666,-549.030233293893,-296.999162785245,550.448690011505,-155.561312139597,-501.130971281452,-227.731223063265,541.446188879781,-146.767813786729,-452.896230031281,-296.73048423762
0.58,606.146046783908,-154.726260498968,-548.124732831455,-258.790083446422,527.267186738095,-153.206671199006,-470.658890515773,-237.678133174187,583.519612985412,-145.908493021779,-483.237933602075,-327.072221789992
0.581,574.926320812844,-156.005468530162,-525.243645400637,-233.793471529132,524.073899863715,-149.445137069812,-451.30245392785,-266.419870875022,618.629361696495,-148.556288707949,-527.785537615873,-322.714600593988
0.582,544.089778407342,-155.205970880817,-493.936227568747,-228.168117979935,549.565658447923,-146.254855304054,-456.973016655378,-305.283597650091,622.208426788902,-152.42249115531,-551.516449929823,-288.050224481643
0.583,524.332502290606,-152.450430992813,-464.878976238414,-242.512083018253,593.261858441434,-146.235139243298,-493.193703130236,-329.726559248825,599.805229053672,-155.195303712313,-544.46905490274,-251.634181011731
0.584,527.062895038311,-148.584897502188,-449.802556019086,-274.723417139607,622.43645597615,-149.403331031907,-535.775636515011,-316.814786657892,567.6764233211,-156.016006591354,-518.662702252486,-230.7499141642
0.585,558.505576163414,-145.906591488623,-462.512333546679,-313.066797860829,618.995511557071,-153.169818260178,-552.359521588828,-279.382179528261,538.37358089365,-154.758488631628,-486.968774263817,-229.581195868143
0.586,601.995063327508,-146.723616764917,-503.288095306418,-330.301603679922,593.115354522257,-155.542712477295,-539.895209114034,-245.558520409649,522.608438596238,-151.639478744311,-459.882927946991,-248.248409209205
